,Fire Alarm
61390,0
33009,1
25078,0
10955,1
6550,1
45162,1
36248,1
25190,0
8464,1
11083,1
20747,1
5404,1
58599,0
53264,0
2028,0
25693,0
51217,0
56234,0
42812,1
24977,1
41098,1
54425,0
41986,1
51336,0
17406,1
53753,0
7867,1
16537,1
37131,1
17762,1
51466,0
57461,0
19973,1
49512,1
46227,1
51088,1
6482,1
56610,0
24096,1
39933,1
49536,1
57027,0
15578,1
33024,1
15005,1
57766,0
14711,1
10623,1
57797,0
56800,0
1755,0
26060,0
14400,1
41828,1
61381,0
50695,1
57955,0
49565,1
28406,1
16953,1
26530,0
24961,1
58439,0
33442,1
36591,1
639,0
26086,0
68,0
2581,0
1032,0
18036,1
404,0
26468,0
55254,0
26988,0
19387,1
42551,1
28261,1
45220,1
46502,1
17768,1
61126,0
60419,0
15774,1
39653,1
28384,1
3189,1
46193,1
40892,1
35998,1
15317,1
28984,1
4994,1
18094,1
14139,1
59361,0
50578,1
617,0
16271,1
20485,1
10208,1
21139,1
53230,0
1037,0
6311,1
48996,1
27352,0
58729,0
33096,1
16566,1
25425,0
55935,0
28189,1
27611,0
42892,1
13550,1
5303,1
42941,1
10369,1
55633,0
315,0
12298,1
50727,1
21999,1
32340,1
61230,0
54234,0
24850,1
29500,1
31916,1
17862,1
736,0
25755,0
52781,0
48197,1
8580,1
56664,0
33796,1
9529,1
23909,1
36943,1
40041,1
24022,1
57695,0
38307,1
48173,1
20176,1
53106,0
47057,1
15139,1
55946,0
49502,1
36928,1
25012,0
55235,0
43119,1
2355,0
19196,1
49417,1
39506,1
2066,0
51900,0
9334,1
42638,1
28571,1
58486,0
23026,1
28808,1
33437,1
36065,1
46594,1
23398,1
6475,1
42339,1
42992,1
12326,1
21494,1
53313,0
44057,1
59904,0
3939,1
36766,1
13769,1
11461,1
20277,1
53964,0
47832,1
7997,1
16177,1
32529,1
17686,1
42506,1
49144,1
4792,1
42639,1
16413,1
46920,1
54140,0
19484,1
27478,0
58472,0
31113,1
51798,0
37426,1
46939,1
43590,1
5888,1
50790,1
59324,0
1915,0
5291,1
53738,0
45186,1
7260,1
49374,1
42162,1
24959,1
47360,1
7044,1
19156,1
22668,1
22539,1
58960,0
59451,0
60101,0
4834,1
61419,0
39796,1
58167,0
22927,1
56816,0
45461,1
32272,1
34668,1
6523,1
10672,1
4508,1
5870,1
591,0
24410,1
27897,0
5217,1
6001,1
40233,1
7129,1
30535,1
30560,1
57566,0
13715,1
11127,1
31651,1
54270,0
14332,1
13931,1
53233,0
8074,1
20963,1
57708,0
43656,1
58989,0
37399,1
23162,1
61272,0
8375,1
12217,1
19569,1
26165,0
6398,1
27538,0
21034,1
12833,1
35412,1
4781,1
29211,1
33888,1
17925,1
57365,0
48114,1
3426,1
38155,1
33975,1
241,0
29716,1
23967,1
36237,1
34948,1
10637,1
11579,1
36191,1
37430,1
23427,1
60742,0
7807,1
3663,1
11005,1
10782,1
62031,0
4262,1
58707,0
50146,1
7303,1
44078,1
21023,1
40773,1
13205,1
61124,0
24956,1
17258,1
48118,1
52525,0
2755,0
44317,1
29097,1
51039,1
27999,0
21459,1
40665,1
61918,0
8394,1
27922,0
7748,1
21086,1
36682,1
780,0
26960,0
41811,1
39050,1
9590,1
34038,1
50360,1
33151,1
15983,1
17567,1
41020,1
38037,1
52725,0
3401,1
29681,1
34952,1
12084,1
52240,0
11572,1
875,0
13241,1
59207,0
31304,1
53190,0
38192,1
30392,1
19045,1
6183,1
2595,0
46237,1
42024,1
37148,1
28072,0
57282,0
7117,1
14781,1
28368,1
14639,1
54460,0
26282,0
15068,1
45995,1
41377,1
20785,1
9076,1
6828,1
7372,1
30113,1
21248,1
30679,1
39115,1
34727,1
12855,1
21622,1
41760,1
21160,1
56460,0
23590,1
23561,1
59659,0
27773,0
17608,1
25715,0
44038,1
44498,1
50859,1
24776,1
36375,1
53967,0
47434,1
59548,0
50035,1
34996,1
7020,1
52181,0
7385,1
26184,0
54674,0
2049,0
6758,1
58642,0
33844,1
58526,0
42979,1
13807,1
50382,1
388,0
41689,1
2375,0
32755,1
5722,1
50365,1
8043,1
41836,1
7098,1
17526,1
60003,0
28121,0
4627,1
26833,0
382,0
46500,1
32720,1
22353,1
29200,1
3742,1
52628,0
22579,1
24954,1
48502,1
30570,1
3439,1
31360,1
34769,1
3208,1
29140,1
7035,1
14507,1
60849,0
5092,1
44460,1
60072,0
9710,1
42238,1
2241,0
4471,1
34713,1
50326,1
32238,1
30675,1
57630,0
23314,1
16521,1
20664,1
33843,1
47640,1
16423,1
27263,0
36873,1
34125,1
53942,0
42649,1
6385,1
61796,0
767,0
35024,1
19646,1
32298,1
35127,1
25034,0
51413,0
60652,0
31334,1
9675,1
36135,1
21413,1
11820,1
24484,1
51369,0
45266,1
49082,1
2580,0
50916,1
35082,1
14515,1
26710,0
38093,1
56815,0
27848,0
55524,0
56196,0
45108,1
33340,1
59604,0
59387,0
30194,1
423,0
16651,1
30640,1
7794,1
29742,1
24465,1
38988,1
4784,1
18223,1
26308,0
2475,0
5019,1
11300,1
22366,1
38078,1
58485,0
17524,1
9662,1
49658,1
22613,1
32342,1
56211,0
32632,1
58221,0
14638,1
31006,1
27568,0
54745,0
53019,0
53498,0
48915,1
14831,1
28741,1
39636,1
29709,1
59542,0
53292,0
22997,1
36138,1
47094,1
45538,1
48331,1
45288,1
5510,1
33813,1
17870,1
35687,1
60568,0
15315,1
38643,1
54471,0
45944,1
46621,1
37046,1
34114,1
6446,1
26241,0
43850,1
57154,0
53534,0
28805,1
18009,1
10692,1
15524,1
11755,1
19999,1
29245,1
61327,0
1957,0
15586,1
56974,0
62324,0
37352,1
1034,0
28412,1
6494,1
55156,0
50500,1
23504,1
27317,0
3246,1
26311,0
34026,1
2564,0
7602,1
29464,1
34245,1
1299,0
29378,1
38622,1
28318,1
7681,1
25573,0
45522,1
34058,1
4540,1
49047,1
90,0
24481,1
31085,1
27421,0
8364,1
1260,0
39800,1
13624,1
6380,1
25458,0
60469,0
9922,1
41723,1
46172,1
59311,0
5095,1
7834,1
35464,1
55536,0
57594,0
24089,1
22146,1
53136,0
22584,1
12630,1
31772,1
17573,1
52998,0
53333,0
30830,1
4918,1
8813,1
7671,1
11174,1
27276,0
50813,1
8050,1
20322,1
38051,1
10859,1
3023,0
44941,1
24833,1
21245,1
31147,1
47128,1
26681,0
6193,1
21849,1
27397,0
45016,1
14359,1
46585,1
1407,0
35448,1
625,0
42943,1
23364,1
8474,1
24935,1
62528,0
24893,1
41143,1
53459,0
1969,0
11860,1
7604,1
24173,1
25339,0
58706,0
46116,1
40984,1
21394,1
19307,1
2275,0
2868,0
26498,0
20078,1
6452,1
34972,1
61714,0
27436,0
60732,0
60750,0
33885,1
17164,1
17167,1
28873,1
61160,0
41036,1
42647,1
11201,1
57975,0
10278,1
14236,1
20679,1
9347,1
26159,0
4333,1
5060,1
31365,1
43080,1
15260,1
18115,1
11951,1
43646,1
31607,1
50642,1
36366,1
48754,1
26940,0
61176,0
43068,1
16605,1
18026,1
8144,1
29999,1
14433,1
62568,0
40731,1
30986,1
20291,1
60355,0
2468,0
12218,1
4072,1
34324,1
49249,1
11528,1
2348,0
2947,0
57985,0
28558,1
51789,0
55217,0
11170,1
62296,0
9771,1
2761,0
60392,0
47908,1
25420,0
32115,1
41993,1
15789,1
14683,1
16894,1
1502,0
44587,1
49846,1
41636,1
7541,1
44010,1
49778,1
12198,1
45111,1
8135,1
47083,1
48422,1
56400,0
13030,1
14762,1
3282,1
37635,1
50134,1
36532,1
43687,1
16147,1
20788,1
9541,1
4643,1
25849,0
31955,1
53170,0
46875,1
58098,0
841,0
14730,1
11772,1
901,0
36196,1
15311,1
31696,1
1081,0
20886,1
47862,1
6219,1
20360,1
23278,1
28338,1
12248,1
38792,1
52482,0
13124,1
28291,1
30349,1
28126,0
20873,1
56544,0
48330,1
42240,1
50272,1
61490,0
30682,1
52432,0
39501,1
44581,1
28008,0
24861,1
13463,1
13575,1
27303,0
58161,0
51164,0
51417,0
1853,0
31560,1
32149,1
30794,1
51181,0
6647,1
6300,1
47277,1
45913,1
3129,0
50422,1
51020,1
18984,1
24610,1
29424,1
41159,1
6409,1
12977,1
3982,1
59279,0
54356,0
53948,0
59760,0
29950,1
30512,1
14136,1
10054,1
62428,0
24011,1
36638,1
51674,0
2586,0
30791,1
30747,1
8436,1
26032,0
7217,1
3601,1
22581,1
50312,1
47937,1
16118,1
22118,1
33063,1
6042,1
19263,1
1279,0
47383,1
27717,0
56160,0
52254,0
46925,1
31078,1
59341,0
60760,0
59859,0
44293,1
61243,0
42541,1
54184,0
25317,0
47274,1
7097,1
41917,1
10954,1
23989,1
38431,1
22493,1
34263,1
46947,1
13104,1
56268,0
5460,1
34772,1
61401,0
3376,1
43682,1
1786,0
39774,1
57608,0
20593,1
724,0
38451,1
6462,1
29929,1
18559,1
31629,1
50836,1
44992,1
4300,1
18055,1
10621,1
32419,1
35429,1
30709,1
62075,0
13028,1
6819,1
32316,1
38047,1
3969,1
48819,1
16252,1
49700,1
36813,1
17017,1
39662,1
27957,0
19686,1
29702,1
35134,1
49940,1
3597,1
58044,0
54351,0
55671,0
39149,1
40729,1
58812,0
60458,0
27027,0
62362,0
16026,1
33608,1
58209,0
61337,0
6959,1
27976,0
56043,0
42782,1
32148,1
46695,1
7773,1
13755,1
2913,0
6250,1
11662,1
27798,0
7452,1
10361,1
13468,1
27470,0
14626,1
40880,1
52498,0
18553,1
50721,1
51018,1
57322,0
49952,1
5083,1
21601,1
33582,1
8868,1
26391,0
22922,1
45845,1
47365,1
61468,0
49227,1
39803,1
23994,1
16969,1
29920,1
10408,1
48359,1
50739,1
28677,1
53902,0
44355,1
20448,1
10110,1
35667,1
57809,0
23456,1
20612,1
23556,1
3375,1
41970,1
15006,1
52956,0
19328,1
26581,0
19338,1
53164,0
29049,1
20087,1
61053,0
54889,0
51763,0
207,0
21115,1
25971,0
8042,1
25891,0
58906,0
42921,1
60854,0
16729,1
62534,0
59437,0
45687,1
35534,1
12529,1
7109,1
49902,1
42902,1
15886,1
8072,1
56020,0
14413,1
43478,1
33624,1
9890,1
14197,1
40383,1
601,0
47366,1
10788,1
13725,1
30907,1
25196,0
7476,1
9139,1
605,0
21212,1
13782,1
43362,1
3427,1
7329,1
29639,1
25201,0
14876,1
39957,1
387,0
11707,1
32033,1
2310,0
36124,1
32122,1
17093,1
26099,0
37277,1
47351,1
27100,0
45927,1
6769,1
27754,0
56050,0
26971,0
14645,1
56774,0
34454,1
52995,0
36855,1
11539,1
52160,0
19417,1
22438,1
35529,1
6163,1
15571,1
22834,1
36342,1
41373,1
60661,0
50343,1
54911,0
14328,1
43208,1
12250,1
26667,0
9455,1
4848,1
59752,0
53197,0
49812,1
33829,1
35636,1
20673,1
44873,1
33941,1
8350,1
60069,0
11334,1
2000,0
55979,0
4278,1
10199,1
31191,1
61987,0
54567,0
11387,1
4673,1
45724,1
41991,1
50786,1
62496,0
10873,1
14258,1
45071,1
22787,1
22260,1
1082,0
25021,0
21380,1
7943,1
31900,1
50492,1
35822,1
51158,0
28888,1
796,0
30834,1
21069,1
41547,1
38285,1
19624,1
32404,1
45516,1
16435,1
34744,1
42602,1
46107,1
3914,1
17844,1
15764,1
38182,1
8600,1
12574,1
36816,1
25994,0
47514,1
12460,1
6176,1
4923,1
16086,1
61298,0
54209,0
19192,1
3157,0
19904,1
49380,1
13853,1
40995,1
3576,1
26090,0
877,0
18496,1
35947,1
2251,0
44046,1
10535,1
30852,1
40145,1
32786,1
29444,1
58037,0
8085,1
39298,1
1883,0
55817,0
23658,1
27505,0
17380,1
17677,1
25348,0
53855,0
36914,1
8989,1
91,0
20439,1
22706,1
30856,1
12197,1
24291,1
29859,1
50180,1
42138,1
20862,1
36445,1
56126,0
32515,1
5264,1
12690,1
47840,1
7627,1
32636,1
47651,1
24903,1
47172,1
49533,1
40765,1
24756,1
23952,1
29743,1
4867,1
40998,1
62318,0
51514,0
3027,0
57790,0
25978,0
39764,1
42317,1
54552,0
58518,0
4901,1
30969,1
4493,1
32283,1
43662,1
22320,1
30779,1
5665,1
12240,1
33107,1
55874,0
56777,0
61239,0
47569,1
20924,1
33383,1
13568,1
4999,1
15508,1
12579,1
35862,1
46083,1
40877,1
29799,1
27465,0
55244,0
15935,1
32859,1
30282,1
594,0
32425,1
20363,1
1202,0
20259,1
8572,1
48767,1
13946,1
29519,1
8352,1
41746,1
40103,1
41514,1
54897,0
14419,1
34922,1
29975,1
56474,0
54613,0
31577,1
24091,1
13242,1
20143,1
9854,1
31963,1
1587,0
7886,1
61333,0
58591,0
28870,1
60656,0
59790,0
3856,1
13515,1
53242,0
39553,1
27373,0
52062,0
14326,1
46317,1
29035,1
11053,1
21581,1
54389,0
52310,0
21099,1
4724,1
47550,1
39437,1
59893,0
2795,0
56535,0
19789,1
51593,0
58587,0
48166,1
58936,0
26864,0
25697,0
46228,1
3960,1
49823,1
22511,1
28665,1
19944,1
4062,1
2368,0
36547,1
18045,1
53177,0
52853,0
54410,0
1126,0
428,0
61672,0
32695,1
30112,1
28765,1
29707,1
11671,1
26872,0
44591,1
50480,1
16658,1
38893,1
38648,1
9091,1
37699,1
17135,1
16631,1
46581,1
25330,0
44384,1
11064,1
7059,1
59196,0
55424,0
10775,1
45244,1
26829,0
31909,1
51711,0
10588,1
44708,1
36604,1
32274,1
3787,1
26841,0
4637,1
24899,1
4132,1
11799,1
50209,1
44043,1
15390,1
31233,1
55513,0
21520,1
38728,1
49267,1
55519,0
58375,0
37850,1
51294,0
17658,1
15518,1
6926,1
4311,1
37695,1
46283,1
6150,1
42146,1
10363,1
54294,0
53049,0
34715,1
61514,0
10463,1
14371,1
37818,1
22231,1
16693,1
31330,1
61366,0
36104,1
47198,1
44779,1
16088,1
62483,0
26042,0
2588,0
46334,1
35383,1
52274,0
52953,0
56944,0
43227,1
57381,0
15309,1
11793,1
45297,1
10950,1
2048,0
23361,1
54485,0
1938,0
58414,0
38509,1
42747,1
24793,1
55964,0
29872,1
22817,1
13710,1
6485,1
23015,1
50894,1
61154,0
27698,0
57081,0
39460,1
12504,1
44469,1
40602,1
26458,0
23645,1
60399,0
58667,0
44478,1
57830,0
3703,1
34295,1
59489,0
62487,0
28407,1
19256,1
32706,1
27474,0
53754,0
25128,0
53465,0
2932,0
49977,1
49365,1
16181,1
30103,1
40147,1
51695,0
19459,1
50783,1
47301,1
23345,1
51320,0
31561,1
34582,1
49745,1
41257,1
24895,1
31930,1
24045,1
24453,1
695,0
54372,0
36600,1
409,0
58296,0
49828,1
14470,1
34537,1
53513,0
46465,1
2919,0
18887,1
24138,1
55135,0
32091,1
39789,1
36635,1
27893,0
43160,1
43428,1
56060,0
48150,1
47779,1
9975,1
33181,1
12869,1
49009,1
32843,1
18413,1
37912,1
32929,1
60607,0
30120,1
61579,0
26366,0
16549,1
61484,0
50641,1
1578,0
19920,1
1488,0
36367,1
49774,1
41956,1
18936,1
51271,0
11432,1
23319,1
10366,1
56404,0
28100,0
34473,1
48020,1
19680,1
35787,1
46390,1
60443,0
31253,1
26906,0
49434,1
24158,1
51938,0
52938,0
5177,1
14744,1
54715,0
19117,1
37583,1
61711,0
36968,1
33345,1
48684,1
26012,0
10670,1
42617,1
45352,1
56473,0
24894,1
49141,1
35737,1
14960,1
31511,1
27808,0
57934,0
22676,1
17881,1
38927,1
43417,1
24334,1
52829,0
38395,1
12890,1
38309,1
6694,1
6776,1
42783,1
45591,1
54257,0
3042,0
18270,1
27588,0
43991,1
44793,1
18755,1
44224,1
16274,1
7121,1
7905,1
46962,1
40167,1
11500,1
51896,0
3192,1
14278,1
17442,1
10548,1
49187,1
6415,1
1574,0
61952,0
15651,1
4704,1
37686,1
45585,1
43131,1
37696,1
35923,1
47931,1
29640,1
32892,1
34721,1
3211,1
7592,1
22193,1
13165,1
5994,1
42357,1
13193,1
18577,1
3221,1
17597,1
12799,1
5544,1
27297,0
35929,1
12807,1
43367,1
47077,1
60031,0
39165,1
54172,0
26512,0
55396,0
57759,0
50729,1
32722,1
35571,1
6899,1
6857,1
15611,1
38809,1
43472,1
60477,0
46708,1
34703,1
4280,1
6759,1
1855,0
62205,0
52435,0
349,0
46365,1
52451,0
22195,1
47259,1
46288,1
33025,1
35803,1
14184,1
40590,1
25294,0
36269,1
16096,1
39107,1
62343,0
56807,0
15159,1
13140,1
29860,1
41503,1
46024,1
14425,1
18067,1
6007,1
35329,1
54530,0
55077,0
61202,0
11395,1
21404,1
12535,1
12707,1
23147,1
21877,1
27548,0
2163,0
59610,0
61260,0
39392,1
2512,0
2959,0
13992,1
9035,1
9781,1
33542,1
1966,0
45688,1
36837,1
2808,0
38952,1
43874,1
31058,1
31094,1
32085,1
17182,1
15968,1
61807,0
50099,1
41457,1
26420,0
21405,1
61583,0
5304,1
37903,1
50817,1
62023,0
52302,0
15882,1
38461,1
52780,0
31819,1
13830,1
27183,0
57219,0
40245,1
29152,1
34886,1
29919,1
48769,1
48276,1
32501,1
42653,1
393,0
9808,1
7306,1
37774,1
46064,1
55846,0
30024,1
47138,1
16855,1
4050,1
52639,0
36655,1
21152,1
30805,1
28499,1
2591,0
5076,1
50514,1
60996,0
14373,1
27274,0
52557,0
57086,0
36964,1
31244,1
50304,1
40058,1
35644,1
47917,1
2534,0
9308,1
42122,1
1150,0
41030,1
29427,1
6265,1
52554,0
8147,1
35679,1
43245,1
28071,0
28856,1
51815,0
49986,1
49305,1
17473,1
52046,0
43005,1
56873,0
42345,1
33726,1
10916,1
57773,0
62198,0
41867,1
38882,1
11800,1
29926,1
886,0
60302,0
58290,0
36540,1
15767,1
38290,1
21946,1
44002,1
27351,0
41175,1
61074,0
50227,1
45750,1
8118,1
37659,1
38785,1
19351,1
35349,1
52508,0
13796,1
41144,1
61897,0
53416,0
33734,1
51161,0
20376,1
52660,0
143,0
4934,1
2831,0
5401,1
27068,0
39692,1
48764,1
4577,1
3828,1
14039,1
18254,1
41473,1
33557,1
58140,0
35041,1
43306,1
12316,1
51441,0
61744,0
10103,1
8451,1
52090,0
42691,1
9408,1
28615,1
52168,0
21623,1
57135,0
14686,1
5675,1
31320,1
3254,1
24327,1
14547,1
40569,1
16860,1
51188,0
24424,1
24813,1
29089,1
44835,1
7890,1
14356,1
36420,1
51908,0
38652,1
46756,1
62572,0
5621,1
14906,1
55174,0
28298,1
48907,1
53144,0
58497,0
31786,1
38690,1
33936,1
8086,1
35057,1
29385,1
40414,1
13766,1
5163,1
22417,1
39856,1
52637,0
23960,1
24234,1
50409,1
39279,1
8411,1
61822,0
56090,0
37632,1
24750,1
27083,0
18203,1
16613,1
29210,1
33302,1
27155,0
23508,1
51529,0
15826,1
4785,1
19974,1
36871,1
49511,1
21781,1
16083,1
21284,1
47856,1
51312,0
41638,1
2827,0
38033,1
42598,1
2439,0
43451,1
10160,1
51177,0
29403,1
46567,1
693,0
37022,1
44223,1
53822,0
13908,1
35173,1
52783,0
62578,0
12432,1
47325,1
11989,1
58665,0
21649,1
25674,0
31777,1
24992,1
21643,1
61019,0
34306,1
17605,1
50196,1
2691,0
11547,1
45527,1
25809,0
61465,0
25873,0
12028,1
46432,1
6139,1
46818,1
56111,0
30617,1
35535,1
35403,1
51929,0
35257,1
28599,1
57750,0
5,0
22569,1
56494,0
5591,1
1926,0
14383,1
51000,1
54861,0
27198,0
45253,1
42548,1
33126,1
40443,1
59496,0
15055,1
58206,0
60658,0
29778,1
35352,1
4865,1
31740,1
32237,1
25431,0
13297,1
28637,1
35148,1
22657,1
9684,1
43660,1
29607,1
31992,1
21679,1
22470,1
5911,1
20670,1
38355,1
43742,1
60575,0
42522,1
31173,1
8365,1
44731,1
43583,1
58303,0
49404,1
19863,1
2202,0
38705,1
38971,1
36158,1
45564,1
17382,1
58846,0
55586,0
18063,1
44916,1
56328,0
28337,1
11290,1
32146,1
34202,1
53271,0
37527,1
14987,1
31839,1
16182,1
53211,0
3956,1
20686,1
19438,1
20446,1
6960,1
21480,1
41245,1
29856,1
62177,0
47556,1
38884,1
137,0
32586,1
27556,0
28319,1
36153,1
41948,1
30475,1
45047,1
43293,1
26125,0
47091,1
59875,0
46572,1
53860,0
53504,0
8492,1
36364,1
23407,1
39941,1
51438,0
32805,1
49382,1
54025,0
56047,0
43049,1
36480,1
60924,0
22829,1
37000,1
40634,1
2189,0
61926,0
32600,1
32497,1
62434,0
47460,1
58473,0
3044,0
32150,1
9471,1
42788,1
12065,1
28716,1
51239,0
28347,1
15140,1
18731,1
17226,1
14431,1
47363,1
14615,1
14553,1
33269,1
31635,1
61335,0
28440,1
54040,0
28143,0
62187,0
52922,0
3927,1
37841,1
10478,1
6989,1
7856,1
58969,0
48512,1
32703,1
61712,0
53174,0
34723,1
43468,1
59179,0
20329,1
42421,1
60546,0
15207,1
905,0
44494,1
21431,1
52163,0
26704,0
5528,1
42963,1
28683,1
15216,1
43441,1
40715,1
20957,1
11363,1
37130,1
38273,1
62010,0
16075,1
1909,0
1020,0
48686,1
45523,1
2584,0
48967,1
6702,1
5614,1
44423,1
3747,1
25803,0
59497,0
4977,1
176,0
27879,0
60224,0
33503,1
10999,1
8097,1
30918,1
22582,1
33434,1
35153,1
31497,1
35980,1
52898,0
9790,1
15254,1
24471,1
39617,1
21694,1
29340,1
44859,1
29712,1
39034,1
8068,1
3599,1
55521,0
8789,1
53486,0
59905,0
39459,1
38440,1
25742,0
41273,1
60263,0
56374,0
38141,1
40322,1
31868,1
30387,1
51944,0
19876,1
62430,0
10712,1
34693,1
57034,0
60516,0
54637,0
44527,1
45565,1
52700,0
2083,0
8435,1
5599,1
3471,1
13301,1
48002,1
3678,1
48308,1
10747,1
30607,1
1772,0
10972,1
41456,1
2992,0
56067,0
8139,1
2471,0
44996,1
20200,1
29850,1
12994,1
31831,1
32779,1
58467,0
36546,1
45401,1
7402,1
2569,0
19319,1
24759,1
2029,0
26059,0
3772,1
11421,1
48163,1
8503,1
15234,1
42868,1
7391,1
25834,0
50807,1
18703,1
37771,1
61637,0
35143,1
59946,0
32533,1
60415,0
48648,1
41913,1
44242,1
2703,0
12374,1
29223,1
41497,1
59294,0
45533,1
4588,1
56512,0
19202,1
15160,1
10569,1
16980,1
4448,1
36265,1
11921,1
51788,0
49982,1
52707,0
14617,1
27993,0
29194,1
42540,1
16908,1
28267,1
27362,0
54070,0
55276,0
5914,1
61086,0
60566,0
19096,1
16622,1
26917,0
46546,1
38464,1
27323,0
54491,0
46535,1
15703,1
8476,1
5298,1
58645,0
3935,1
35200,1
18979,1
3761,1
1336,0
832,0
6315,1
4617,1
29503,1
1600,0
35666,1
37885,1
18478,1
34791,1
57388,0
60512,0
8558,1
47382,1
22951,1
23544,1
54511,0
25895,0
6939,1
14868,1
54759,0
646,0
57916,0
8171,1
25710,0
30683,1
1950,0
1722,0
47330,1
14338,1
61698,0
20361,1
46407,1
34597,1
36093,1
24805,1
13118,1
23551,1
15582,1
38101,1
50437,1
15448,1
24201,1
27078,0
51617,0
56914,0
53124,0
19874,1
47284,1
14631,1
16261,1
22070,1
8268,1
30357,1
53053,0
24708,1
35267,1
37472,1
27501,0
23240,1
13915,1
2312,0
37420,1
30937,1
31417,1
12273,1
23290,1
57639,0
30680,1
44219,1
33159,1
22364,1
29306,1
4467,1
37533,1
3408,1
57606,0
42450,1
32540,1
54748,0
39552,1
13694,1
50586,1
43761,1
40657,1
1900,0
56099,0
15316,1
40452,1
4136,1
2429,0
46133,1
1740,0
43834,1
54913,0
28796,1
13395,1
27554,0
37801,1
40843,1
45712,1
11105,1
26351,0
8920,1
19891,1
23096,1
53834,0
51821,0
13243,1
157,0
42835,1
9846,1
17580,1
61636,0
31960,1
47715,1
1683,0
11998,1
33646,1
42568,1
24582,1
35639,1
24618,1
58741,0
19907,1
19238,1
9271,1
12615,1
61691,0
34627,1
40460,1
40185,1
52227,0
35442,1
19107,1
27859,0
42966,1
27533,0
60839,0
26368,0
29627,1
1579,0
4123,1
57158,0
34519,1
32262,1
61379,0
4191,1
9858,1
36561,1
42901,1
54442,0
16292,1
30008,1
11901,1
44631,1
39338,1
6203,1
35314,1
30377,1
41158,1
43654,1
54849,0
11698,1
53055,0
51504,0
54445,0
39025,1
41209,1
45126,1
39350,1
33140,1
17869,1
32492,1
17701,1
37687,1
21357,1
33836,1
47027,1
53074,0
29840,1
61826,0
42320,1
38315,1
9680,1
19496,1
44826,1
21540,1
57390,0
30540,1
