,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
42874,24.44,53.86,1187,406,12904,19440,938.702,1.75,1.81,12.01,1.873,0.042,17880
52122,26.1,47.19,74,400,12788,20673,937.529,2.33,2.42,16.05,2.502,0.057,980
19304,20.478,52.9,1243,406,12921,19426,938.685,1.72,1.79,11.83,1.845,0.042,19304
27046,16.98,53.4,45,400,13128,20009,939.631,0.65,0.68,4.5,0.702,0.016,2052
47965,24.45,53.83,1274,400,12970,19400,938.702,1.77,1.84,12.19,1.901,0.043,22971
22356,-17.454,51.15,1379,409,12960,19383,938.717,2.04,2.12,14.02,2.186,0.049,22356
24178,-10.323,53.58,1153,400,13012,19438,938.761,1.99,2.06,13.67,2.131,0.048,24178
18442,19.872,47.66,1195,400,12917,19432,938.716,1.61,1.67,11.05,1.724,0.039,18442
13737,18.928,53.23,1166,519,12845,19448,938.887,1.9,1.97,13.05,2.036,0.046,13737
59544,12.585,48.86,160,438,12772,20560,937.354,1.46,1.51,10.02,1.562,0.035,2658
52383,28.94,41.17,64,400,12790,20665,937.492,2.43,2.53,16.76,2.613,0.059,1241
33855,18.54,56.57,353,400,13067,19915,939.258,0.55,0.57,3.76,0.586,0.013,8861
7423,-4.317,56.51,278,400,13120,19992,939.517,0.63,0.65,4.31,0.672,0.015,7423
32514,18.86,53.69,281,400,13117,19982,939.484,0.56,0.59,3.88,0.605,0.014,7520
57876,-3.578,42.33,78,400,12782,20663,937.551,2.2,2.28,15.13,2.36,0.053,990
30336,21.35,53.81,0,400,13274,20229,939.726,2.39,2.48,16.45,2.565,0.058,5342
36399,25.3,53.86,990,614,12810,19473,939.086,2.29,2.37,15.73,2.453,0.055,11405
52595,26.0,47.27,86,400,12782,20639,937.431,1.66,1.72,11.39,1.777,0.04,1453
43311,26.92,47.95,1197,400,12911,19428,938.723,1.67,1.74,11.52,1.797,0.041,18317
47408,25.13,49.99,1394,405,12961,19375,938.752,2.13,2.21,14.66,2.286,0.052,22414
43759,24.71,52.98,1210,406,12907,19421,938.698,1.71,1.77,11.74,1.83,0.041,18765
22468,-18.606,47.63,1367,401,12964,19391,938.754,2.09,2.17,14.36,2.239,0.051,22468
60285,13.951,42.27,126,400,12897,20605,937.45,1.81,1.88,12.48,1.947,0.044,3399
24107,-11.956,52.51,1222,400,13024,19424,938.762,2.59,2.69,17.8,2.776,0.063,24107
61217,20.71,32.12,8622,400,12942,19414,936.894,0.39,0.41,2.71,0.422,0.01,4331
6740,-6.188,49.69,208,400,13149,20060,939.596,0.78,0.81,5.37,0.837,0.019,6740
13102,20.765,47.1,1105,538,12841,19454,938.904,2.33,2.42,16.03,2.5,0.056,13102
13298,20.421,51.05,1147,533,12832,19444,938.928,1.82,1.9,12.56,1.958,0.044,13298
59789,20.43,49.12,159,405,12786,20565,937.406,1.74,1.8,11.96,1.864,0.042,2903
61466,17.237,19.85,37841,741,12632,18666,936.863,1.0,1.04,6.86,1.07,0.024,4580
33935,20.5,53.14,347,400,13071,19915,939.26,0.43,0.44,2.93,0.458,0.01,8941
36404,26.1,50.14,990,611,12816,19486,939.087,2.24,2.32,15.4,2.402,0.054,11410
19339,20.396,47.92,1124,400,12926,19446,938.683,1.6,1.66,11.02,1.719,0.039,19339
39980,24.66,52.8,1074,442,12870,19459,938.821,1.71,1.78,11.79,1.838,0.042,14986
51687,26.75,45.53,111,405,12824,20641,937.475,2.31,2.4,15.89,2.477,0.056,545
62266,-21.239,11.16,11104,400,13167,19307,936.709,19.38,20.13,133.37,20.797,0.47,5380
3436,6.165,55.05,294,400,13136,19917,939.675,1.95,2.03,13.42,2.093,0.047,3436
19508,19.846,49.44,1205,400,12926,19419,938.691,1.87,1.94,12.87,2.006,0.045,19508
26023,13.31,57.27,11,400,13031,19925,939.764,0.29,0.3,1.97,0.308,0.007,1029
37907,26.83,47.89,1051,536,12845,19476,938.915,1.89,1.96,13.0,2.027,0.046,12913
21932,-12.013,48.25,1459,434,12944,19366,938.742,1.99,2.07,13.69,2.135,0.048,21932
6378,-7.458,49.42,191,400,13159,20074,939.676,0.94,0.97,6.44,1.004,0.023,6378
24359,-5.519,53.96,1268,404,12991,19399,938.795,1.86,1.93,12.79,1.995,0.045,24359
29620,21.77,51.39,16,400,13269,20203,939.653,2.36,2.45,16.23,2.53,0.057,4626
2407,18.566,53.0,34,400,13192,20121,939.592,1.03,1.07,7.08,1.105,0.025,2407
16313,12.473,53.36,1149,404,12883,19450,938.76,1.48,1.54,10.22,1.593,0.036,16313
50117,23.43,65.09,454,1461,12959,19511,931.22,13693.1,39728.04,30171.01,45195.203,25085.914,129
40653,24.45,53.56,1182,433,12872,19431,938.799,1.91,1.99,13.15,2.051,0.046,15659
50168,24.78,34.76,0,848,13273,20013,931.117,660.73,687.29,4545.55,710.105,16.799,180
10776,3.859,48.67,990,660,12791,19480,939.063,2.1,2.18,14.42,2.249,0.051,10776
24673,5.14,48.83,1283,400,12993,19401,938.815,1.96,2.04,13.51,2.107,0.048,24673
5824,-8.976,53.32,22,400,13263,20242,939.691,2.36,2.45,16.23,2.531,0.057,5824
61789,-2.588,27.38,60000,4733,11701,17141,936.867,1386.54,1440.57,9543.03,1488.122,33.61,4903
49460,24.48,53.5,1312,416,12988,19395,938.802,2.22,2.3,15.27,2.38,0.054,24466
60321,13.363,44.86,0,400,13193,21102,937.436,2.02,2.1,13.9,2.168,0.049,3435
49136,26.87,47.05,1145,400,13038,19448,938.745,2.53,2.63,17.4,2.713,0.061,24142
9786,-3.967,58.34,678,814,12729,19572,939.134,2.54,2.64,17.48,2.726,0.062,9786
33271,20.77,50.93,314,400,13112,19949,939.384,0.41,0.43,2.83,0.441,0.01,8277
48522,26.48,49.77,1377,408,12972,19381,938.709,1.7,1.76,11.69,1.823,0.041,23528
3186,9.281,63.18,0,400,13466,20427,939.509,21.32,22.15,146.76,22.885,0.517,3186
44159,27.06,47.58,1220,401,12922,19426,938.719,1.57,1.63,10.78,1.681,0.038,19165
13223,20.581,47.11,1132,534,12843,19447,938.876,2.05,2.13,14.08,2.196,0.05,13223
15955,12.051,53.49,1145,417,12874,19443,938.784,1.73,1.79,11.88,1.853,0.042,15955
47489,24.41,53.89,1398,404,12964,19383,938.746,1.79,1.86,12.35,1.926,0.044,22495
4268,-3.198,50.68,101,400,13244,20128,939.678,1.94,2.01,13.35,2.081,0.047,4268
51870,26.51,46.17,73,454,12775,20681,937.553,2.35,2.44,16.15,2.519,0.057,728
35248,23.45,53.89,937,715,12768,19490,939.051,2.51,2.61,17.26,2.691,0.061,10254
62094,-20.271,13.27,60000,14282,11164,16474,936.745,7445.69,12069.17,40357.92,13173.742,4386.852,5208
52284,26.51,45.82,90,400,12782,20649,937.474,1.97,2.05,13.57,2.116,0.048,1142
16449,12.732,48.95,1096,400,12896,19465,938.763,1.75,1.82,12.04,1.878,0.042,16449
42550,25.07,50.81,1195,414,12899,19430,938.74,1.31,1.36,9.04,1.41,0.032,17556
52659,25.91,47.52,120,410,12779,20597,937.422,1.75,1.82,12.04,1.878,0.042,1517
19259,20.57,53.89,1208,402,12923,19434,938.696,1.49,1.55,10.27,1.601,0.036,19259
4331,-3.787,49.57,103,400,13227,20111,939.655,2.58,2.68,17.73,2.764,0.062,4331
33649,20.4,53.63,331,400,13098,19930,939.317,0.44,0.46,3.03,0.473,0.011,8655
17090,14.565,53.24,1159,400,12899,19439,938.788,1.98,2.06,13.65,2.129,0.048,17090
21579,-6.565,52.12,1344,412,12955,19399,938.746,1.93,2.01,13.31,2.076,0.047,21579
18149,18.863,47.34,1153,403,12907,19423,938.708,2.07,2.15,14.27,2.226,0.05,18149
11854,15.451,49.33,1155,633,12798,19441,939.052,2.22,2.31,15.31,2.387,0.054,11854
42950,26.88,47.97,1203,414,12898,19431,938.714,1.57,1.63,10.83,1.689,0.038,17956
7503,-4.21,50.26,276,400,13122,19992,939.485,0.53,0.55,3.65,0.568,0.013,7503
3128,10.005,49.0,159,400,13158,20015,939.633,0.98,1.02,6.75,1.052,0.024,3128
37973,26.96,47.36,1046,543,12837,19470,938.91,1.99,2.07,13.72,2.139,0.048,12979
1854,23.744,47.42,64,400,13123,19994,939.596,0.61,0.64,4.22,0.658,0.015,1854
15195,12.654,47.84,1069,434,12873,19451,938.791,2.2,2.29,15.15,2.362,0.053,15195
17413,15.792,48.37,1138,400,12907,19438,938.728,1.28,1.33,8.8,1.373,0.031,17413
36966,25.43,47.63,1159,619,12802,19433,939.053,2.14,2.22,14.71,2.293,0.052,11972
30322,19.78,54.36,16,400,13254,20209,939.726,2.23,2.32,15.36,2.395,0.054,5328
42900,27.06,47.41,1155,400,12912,19444,938.708,1.71,1.78,11.78,1.837,0.041,17906
30992,19.37,55.74,128,400,13197,20142,939.647,1.58,1.64,10.89,1.698,0.038,5998
41376,26.05,52.99,1082,400,12901,19462,938.75,1.79,1.86,12.33,1.923,0.043,16382
56829,46.03,16.01,825,400,13697,20468,936.691,0.51,0.53,3.48,0.542,0.012,5687
44684,26.65,49.03,1149,400,12931,19437,938.719,1.66,1.72,11.42,1.781,0.04,19690
54966,27.33,39.16,0,400,13425,21384,937.397,1.48,1.54,10.18,1.587,0.036,3824
4774,-7.19,49.02,39,400,13255,20180,939.664,2.43,2.53,16.74,2.61,0.059,4774
1890,23.464,51.23,62,400,13128,20001,939.633,0.74,0.77,5.12,0.798,0.018,1890
10931,5.542,54.23,1023,657,12793,19480,939.04,2.35,2.44,16.18,2.523,0.057,10931
54110,28.14,44.83,171,414,12778,20552,937.374,1.78,1.85,12.22,1.906,0.043,2968
1039,27.123,52.48,0,400,13054,19956,939.753,0.29,0.31,2.02,0.315,0.007,1039
26252,17.03,49.6,3,400,13080,19962,939.712,0.47,0.49,3.25,0.506,0.011,1258
54640,25.47,45.25,0,400,13175,20969,937.467,1.85,1.92,12.7,1.98,0.045,3498
30652,22.0,49.48,43,400,13247,20205,939.735,2.69,2.8,18.53,2.889,0.065,5658
26463,15.18,55.78,29,400,13100,19980,939.721,0.51,0.53,3.53,0.55,0.012,1469
54198,26.71,45.01,190,455,12755,20525,937.359,1.29,1.34,8.88,1.384,0.031,3056
31755,18.99,54.65,219,400,13138,20043,939.62,0.8,0.83,5.53,0.862,0.019,6761
10793,4.041,52.12,1007,675,12794,19481,939.073,2.19,2.28,15.1,2.355,0.053,10793
17988,18.22,53.14,1143,407,12902,19429,938.7,1.59,1.65,10.95,1.707,0.039,17988
55285,34.73,50.31,6393,400,13092,19559,936.895,0.37,0.38,2.51,0.392,0.009,4143
14901,13.532,47.35,1073,441,12878,19462,938.821,1.75,1.82,12.06,1.881,0.042,14901
12784,20.74,50.92,1021,525,12846,19467,938.945,1.99,2.07,13.72,2.139,0.048,12784
34073,18.6,56.35,377,400,13044,19875,939.277,0.31,0.33,2.16,0.337,0.008,9079
9666,-4.406,60.83,852,964,12651,19517,939.143,2.4,2.49,16.49,2.572,0.058,9666
2698,15.265,52.0,100,400,13189,20080,939.635,1.06,1.1,7.32,1.141,0.026,2698
34517,23.08,56.42,679,731,12766,19579,939.146,2.54,2.64,17.47,2.724,0.062,9523
55998,43.92,31.41,60000,1221,12385,18271,936.855,88.55,92.0,609.45,95.037,2.147,4856
54215,25.88,48.81,191,427,12770,20524,937.367,1.63,1.69,11.21,1.747,0.039,3073
47136,25.92,53.42,1287,400,12973,19409,938.731,1.87,1.94,12.86,2.005,0.045,22142
1173,27.015,54.53,20,400,13049,19945,939.804,0.37,0.38,2.51,0.392,0.009,1173
26850,17.51,47.76,95,400,13093,19959,939.598,0.65,0.68,4.48,0.699,0.016,1856
55407,38.45,24.54,814,400,13174,20417,936.764,1.73,1.8,11.93,1.861,0.042,4265
56469,58.15,11.24,48102,479,12779,18541,936.708,8.71,9.67,58.37,10.094,0.818,5327
17472,16.033,48.42,1170,400,12905,19439,938.735,1.61,1.67,11.09,1.729,0.039,17472
12532,20.097,52.92,1124,582,12820,19451,938.949,1.86,1.93,12.77,1.992,0.045,12532
58586,-4.356,47.87,118,410,12781,20601,937.414,1.89,1.97,13.04,2.033,0.046,1700
20595,9.354,47.29,946,400,13018,19496,938.703,2.29,2.38,15.78,2.461,0.056,20595
10755,3.636,54.83,969,666,12790,19489,939.082,2.34,2.43,16.08,2.507,0.057,10755
28663,22.05,54.06,329,400,13119,19883,939.669,1.33,1.38,9.16,1.428,0.032,3669
52742,28.79,41.45,84,400,12789,20640,937.427,1.82,1.89,12.52,1.952,0.044,1600
35466,25.62,50.08,887,665,12796,19519,939.112,2.23,2.32,15.37,2.397,0.054,10472
37552,26.91,47.34,1111,566,12827,19451,938.968,1.87,1.95,12.89,2.01,0.045,12558
57688,5.497,47.09,75,429,12781,20677,937.535,1.96,2.03,13.47,2.1,0.047,802
27039,17.17,52.39,44,400,13132,20013,939.623,0.89,0.92,6.12,0.954,0.022,2045
18227,19.155,53.11,1155,400,12910,19438,938.704,1.7,1.77,11.71,1.826,0.041,18227
5650,-9.209,50.58,46,400,13250,20208,939.722,3.01,3.12,20.69,3.226,0.073,5650
30942,21.6,51.34,92,400,13216,20176,939.643,1.94,2.02,13.36,2.084,0.047,5948
57673,6.302,46.14,95,441,12773,20662,937.559,1.79,1.86,12.34,1.924,0.043,787
24738,7.737,48.33,1268,400,13000,19411,938.826,1.85,1.92,12.7,1.981,0.045,24738
23924,-15.542,53.33,1385,413,12970,19374,938.738,1.65,1.71,11.32,1.766,0.04,23924
54422,28.7,42.81,201,424,12776,20530,937.413,1.59,1.65,10.91,1.702,0.038,3280
19816,18.14,48.22,1149,400,12934,19446,938.713,1.76,1.82,12.09,1.885,0.043,19816
20251,13.959,47.48,1396,450,12913,19384,938.735,1.73,1.8,11.94,1.861,0.042,20251
12154,17.964,49.27,1099,605,12815,19462,939.0,2.01,2.09,13.84,2.158,0.049,12154
36934,24.27,53.49,1138,610,12808,19451,939.042,2.34,2.44,16.13,2.516,0.057,11940
6303,-7.709,53.68,160,400,13177,20105,939.655,0.71,0.74,4.9,0.764,0.017,6303
26693,16.04,55.5,6,400,13141,20046,939.648,0.84,0.88,5.81,0.907,0.02,1699
56821,48.29,14.68,696,400,13713,20492,936.664,0.61,0.63,4.19,0.653,0.015,5679
17789,17.379,47.37,1094,400,12908,19456,938.708,1.98,2.06,13.63,2.125,0.048,17789
13338,20.323,47.37,1130,520,12841,19446,938.901,1.79,1.86,12.35,1.926,0.043,13338
27494,20.56,47.07,21,400,13215,20152,939.601,0.89,0.92,6.1,0.952,0.021,2500
22910,-21.61,53.68,1410,417,12963,19371,938.745,1.77,1.84,12.21,1.904,0.043,22910
17065,14.478,47.43,1164,400,12901,19441,938.795,1.88,1.95,12.94,2.018,0.046,17065
11589,12.813,48.92,1002,597,12817,19481,939.051,1.89,1.96,12.98,2.024,0.046,11589
44456,27.01,47.71,1226,404,12924,19432,938.658,1.7,1.76,11.68,1.821,0.041,19462
40340,24.72,52.71,1126,424,12870,19443,938.823,2.31,2.4,15.93,2.484,0.056,15346
49389,25.02,50.61,1423,438,12973,19368,938.781,2.14,2.23,14.75,2.3,0.052,24395
15951,12.049,53.29,1118,410,12882,19447,938.777,1.76,1.82,12.09,1.885,0.043,15951
1311,26.701,50.04,5,400,13097,19983,939.719,0.48,0.5,3.3,0.514,0.012,1311
51603,29.38,40.19,66,400,12831,20704,937.53,1.96,2.04,13.52,2.108,0.048,461
11103,7.46,53.36,1050,650,12796,19471,939.095,2.38,2.47,16.36,2.551,0.058,11103
47501,26.44,50.02,1287,400,12977,19401,938.751,1.78,1.85,12.23,1.907,0.043,22507
41342,27.15,47.23,1118,400,12890,19441,938.754,1.83,1.9,12.61,1.967,0.044,16348
59793,20.477,45.33,174,410,12782,20538,937.403,1.61,1.68,11.11,1.733,0.039,2907
14420,15.641,47.39,1147,475,12855,19449,938.9,1.67,1.73,11.47,1.789,0.04,14420
43618,27.06,47.57,1170,400,12919,19438,938.732,1.46,1.51,10.02,1.563,0.035,18624
44040,27.08,47.5,1247,408,12917,19423,938.706,1.6,1.66,11.02,1.718,0.039,19046
35259,23.05,55.93,967,701,12781,19496,939.064,2.43,2.52,16.7,2.605,0.059,10265
60799,14.353,48.01,188,400,13098,20951,937.006,1.64,1.7,11.29,1.761,0.04,3913
56657,51.42,13.59,1961,400,13647,20168,936.684,0.99,1.03,6.82,1.063,0.024,5515
18504,20.048,47.49,1195,400,12906,19427,938.731,1.66,1.72,11.41,1.78,0.04,18504
37256,26.9,47.26,998,550,12833,19487,939.039,1.9,1.98,13.11,2.045,0.046,12262
61812,-4.249,30.18,60000,6079,11561,16917,936.875,2109.12,2191.3,14516.22,2263.634,51.125,4926
39842,27.11,47.09,1088,454,12870,19468,938.845,1.65,1.72,11.39,1.776,0.04,14848
4788,-7.273,53.66,25,400,13253,20185,939.673,2.2,2.28,15.13,2.36,0.053,4788
9524,-4.792,56.37,685,739,12767,19575,939.141,2.57,2.67,17.68,2.756,0.062,9524
40900,26.47,49.93,1092,400,12888,19456,938.777,2.08,2.16,14.32,2.232,0.05,15906
55305,36.78,45.52,6339,400,13057,19558,936.914,0.41,0.43,2.85,0.445,0.01,4163
44422,24.62,53.29,1195,400,12922,19432,938.67,1.61,1.67,11.07,1.727,0.039,19428
57194,26.609,45.27,39,405,12836,20746,937.552,2.2,2.29,15.16,2.365,0.053,308
20771,6.688,48.33,1197,400,12964,19423,938.71,2.06,2.14,14.15,2.207,0.05,20771
5024,-8.422,53.36,53,400,13237,20160,939.685,2.16,2.24,14.85,2.315,0.052,5024
26326,15.2,52.68,13,400,13086,19972,939.717,0.51,0.53,3.49,0.544,0.012,1332
52055,26.25,46.77,82,408,12774,20664,937.557,2.12,2.2,14.57,2.272,0.051,913
33211,20.6,51.57,317,400,13112,19954,939.414,0.2,0.21,1.41,0.22,0.005,8217
20373,12.435,48.84,1333,406,12941,19398,938.763,2.11,2.2,14.55,2.27,0.051,20373
61643,7.753,19.58,0,400,13591,21197,936.82,0.9,0.94,6.2,0.967,0.022,4757
51493,29.73,39.51,44,400,12837,20732,937.568,2.24,2.32,15.39,2.4,0.054,351
15674,12.017,48.04,1182,417,12873,19436,938.791,2.06,2.14,14.17,2.209,0.05,15674
44899,24.68,53.07,1189,406,12925,19425,938.748,1.41,1.46,9.7,1.513,0.034,19905
55184,28.8,61.56,2542,400,13335,19980,936.925,1.06,1.1,7.29,1.137,0.026,4042
12880,20.832,51.58,1136,544,12827,19439,938.896,2.13,2.21,14.65,2.285,0.052,12880
33852,18.6,56.0,369,400,13063,19908,939.265,0.46,0.48,3.17,0.494,0.011,8858
10450,0.589,55.5,933,681,12785,19494,939.133,2.15,2.23,14.77,2.304,0.052,10450
42269,24.52,53.53,1159,404,12895,19432,938.769,1.51,1.57,10.39,1.62,0.037,17275
9552,-4.727,62.85,762,815,12723,19553,939.149,2.32,2.41,15.94,2.486,0.056,9552
48551,24.9,51.68,1423,416,12970,19375,938.701,1.91,1.98,13.11,2.045,0.046,23557
26787,19.03,48.03,33,400,13127,20009,939.626,0.82,0.85,5.66,0.883,0.02,1793
34821,24.41,51.44,791,963,12643,19534,939.161,2.29,2.38,15.78,2.461,0.056,9827
38961,24.66,52.71,1088,497,12851,19450,938.922,2.04,2.12,14.06,2.192,0.05,13967
60757,13.762,41.78,166,400,13172,20982,937.021,1.83,1.9,12.57,1.96,0.044,3871
29956,20.12,53.05,44,400,13243,20177,939.697,2.35,2.44,16.16,2.521,0.057,4962
12139,17.853,47.42,1088,584,12818,19458,939.04,1.72,1.79,11.86,1.85,0.042,12139
47067,24.41,53.87,1377,407,12962,19382,938.72,1.58,1.64,10.88,1.697,0.038,22073
42873,24.43,53.79,1143,404,12902,19441,938.693,1.77,1.84,12.17,1.898,0.043,17879
57413,19.764,40.0,63,400,12830,20707,937.496,2.17,2.25,14.93,2.328,0.053,527
30633,19.5,55.71,48,400,13250,20208,939.731,2.57,2.67,17.65,2.753,0.062,5639
55530,46.12,27.36,13087,503,12760,19133,936.873,0.87,0.9,5.96,0.93,0.021,4388
3983,-0.274,47.37,122,400,13231,20087,939.648,2.09,2.17,14.35,2.238,0.051,3983
21015,2.771,48.15,1375,416,12948,19386,938.692,1.86,1.93,12.81,1.998,0.045,21015
25542,12.38,51.64,24,400,12801,19784,939.824,0.23,0.24,1.59,0.247,0.006,548
48361,26.98,47.77,1331,415,12974,19390,938.701,1.77,1.84,12.21,1.904,0.043,23367
610,26.022,55.81,17,400,12846,19811,939.837,0.1,0.1,0.69,0.107,0.002,610
18962,20.786,53.15,1118,400,12937,19452,938.699,1.55,1.61,10.64,1.659,0.037,18962
53161,28.62,41.9,131,402,12783,20590,937.353,1.58,1.64,10.85,1.691,0.038,2019
