,pH,Temprature,Taste,Odor,Fat,Turbidity,Colour
220,6.8,45,0,0,0,1,255
214,6.8,45,0,0,1,0,255
722,4.7,38,1,0,1,0,255
132,6.5,35,1,0,1,0,246
1056,3.0,40,1,1,1,1,255
504,6.5,38,1,1,1,1,255
717,6.8,40,1,0,1,0,245
422,6.7,45,1,1,0,0,247
185,8.1,66,1,0,1,1,255
41,3.0,40,1,0,0,0,255
703,6.6,38,0,0,0,0,255
108,6.5,38,1,0,1,0,255
873,8.1,66,1,0,1,1,255
56,5.6,50,0,1,1,1,255
499,6.5,37,0,0,0,0,245
764,8.6,55,0,1,1,1,255
617,6.8,40,1,1,1,1,255
483,6.6,45,0,0,0,1,250
468,6.6,35,0,1,1,1,255
1007,6.5,37,0,0,0,0,255
435,6.5,38,1,0,0,0,255
24,6.8,35,1,0,1,0,246
513,9.5,34,1,1,0,1,255
526,6.8,50,0,0,1,0,255
581,6.6,43,1,0,1,1,250
677,6.5,38,1,0,1,0,255
759,4.5,60,0,1,1,1,250
1013,6.8,45,0,1,1,1,255
338,6.7,45,1,1,1,0,245
51,5.5,45,1,0,1,1,250
383,6.8,40,1,0,1,0,245
1020,6.5,36,0,0,1,0,255
1005,9.0,43,1,0,1,1,250
692,6.8,45,1,1,1,1,245
1011,6.6,45,0,1,1,1,250
264,6.6,45,0,1,1,1,250
587,6.8,40,1,1,1,1,255
1019,6.6,45,0,1,1,1,250
1041,6.6,40,1,0,0,0,255
444,6.5,55,1,0,1,0,246
395,6.8,45,1,1,1,1,245
176,6.6,45,0,0,0,1,250
18,9.0,43,1,0,1,1,250
708,3.0,40,1,1,1,1,255
757,6.6,37,1,1,1,1,255
61,6.7,38,1,0,1,0,255
272,9.0,43,1,1,1,1,248
967,6.5,40,1,0,0,0,250
278,9.5,34,1,1,0,1,255
368,6.5,38,1,1,1,1,255
945,6.6,45,0,1,1,1,250
628,6.7,45,1,1,0,0,247
597,5.5,45,1,0,1,1,250
667,6.6,37,1,1,1,1,255
1033,6.6,38,0,0,0,0,255
456,6.8,45,1,1,1,0,245
393,6.5,36,0,0,1,0,255
694,6.8,36,0,1,1,0,253
734,6.7,45,1,1,1,0,245
375,6.6,43,1,0,1,1,250
412,6.6,50,0,0,0,0,255
74,4.5,38,0,1,1,1,255
963,6.7,38,1,0,1,0,255
500,6.6,37,1,0,1,0,255
613,6.5,38,1,1,1,1,255
114,6.8,45,0,1,1,1,255
417,6.5,37,0,0,0,0,255
89,6.8,40,1,1,1,1,255
1006,6.8,40,1,0,1,0,245
948,6.8,45,1,1,1,1,245
664,9.0,43,1,0,1,1,250
670,8.1,66,1,0,1,1,255
11,5.6,50,0,1,1,1,255
396,6.5,35,1,0,1,0,246
583,6.5,38,1,1,1,1,255
42,9.0,43,1,1,1,1,248
167,6.8,45,0,1,1,1,255
416,9.5,34,1,1,0,1,255
827,6.6,38,1,0,1,0,255
426,7.4,90,1,0,1,1,255
544,6.5,37,0,0,0,0,255
964,3.0,40,1,1,1,1,255
1039,6.6,50,0,0,0,0,255
749,9.0,43,1,1,1,1,248
803,6.5,36,0,0,1,0,255
257,6.5,36,0,0,1,0,255
335,4.5,60,0,1,1,1,250
15,6.5,38,1,0,0,0,255
688,6.8,40,1,0,1,0,245
324,8.6,55,0,1,1,1,255
1030,7.4,65,0,0,0,0,255
222,6.5,38,1,0,0,0,255
179,6.8,45,1,1,1,0,245
99,5.5,45,1,0,1,1,250
521,6.7,45,1,1,0,0,247
22,4.5,38,0,1,1,1,255
356,6.5,36,0,0,1,0,255
731,4.5,60,0,1,1,1,250
943,9.0,43,1,0,1,1,250
915,5.6,50,0,1,1,1,255
340,8.6,55,0,1,1,1,255
431,6.6,43,1,0,1,1,250
668,5.5,45,1,0,1,1,250
913,6.7,45,1,1,0,0,247
203,6.8,40,1,0,1,0,245
900,8.6,55,0,1,1,1,255
93,6.8,45,1,1,1,0,245
611,7.4,65,0,0,0,0,255
68,4.7,38,1,0,1,0,255
876,3.0,40,1,1,1,1,255
284,4.5,60,0,1,1,1,250
879,6.8,55,0,0,0,1,255
434,6.8,45,0,1,1,1,255
153,6.5,37,0,0,0,0,255
75,6.8,45,1,1,1,1,245
800,9.0,43,1,0,1,1,250
580,3.0,40,1,1,1,1,255
446,8.5,70,0,0,0,0,246
188,5.6,50,0,1,1,1,255
271,6.8,34,0,0,0,1,240
236,6.6,37,1,0,1,0,255
487,6.5,55,1,0,1,0,246
559,9.0,43,1,0,1,1,250
117,3.0,40,1,1,1,1,255
894,6.8,41,0,0,1,0,255
512,6.8,45,1,1,1,0,245
605,6.8,50,0,0,1,0,255
847,6.5,37,0,1,1,1,245
126,8.5,70,0,0,0,0,246
116,6.6,38,1,0,1,0,255
473,3.0,40,1,1,1,1,255
758,5.5,45,1,0,1,1,250
57,8.6,55,0,1,1,1,255
603,6.6,35,0,1,1,1,255
739,6.5,38,1,0,1,0,255
996,6.7,38,1,0,1,0,255
369,6.6,38,0,0,0,0,255
268,6.5,35,1,0,1,0,246
46,6.6,38,0,0,0,0,255
349,6.8,45,0,1,1,1,255
195,9.0,43,1,0,1,1,250
102,6.7,45,1,1,0,0,247
914,6.7,45,1,1,1,0,245
756,6.5,37,0,0,0,0,255
825,6.8,45,0,1,1,1,255
263,6.8,40,1,0,1,0,245
994,6.5,38,1,1,1,1,255
443,6.8,45,1,1,1,1,245
740,6.7,41,1,0,0,0,247
304,6.6,45,0,0,0,1,250
341,7.4,90,1,0,1,1,255
657,9.0,43,1,0,1,1,250
313,8.1,66,1,0,1,1,255
149,6.8,45,1,1,1,0,245
124,6.5,55,1,0,1,0,246
1058,8.6,55,0,1,1,1,255
899,6.6,43,0,0,1,0,250
50,6.6,37,1,1,1,1,255
353,9.0,43,1,0,1,1,250
1014,6.5,38,1,0,0,0,255
142,6.6,38,0,0,0,0,255
470,6.8,50,0,0,1,0,255
399,6.8,34,0,0,0,1,240
684,6.5,38,1,0,0,0,255
320,6.5,38,1,0,1,0,255
19,6.8,40,1,0,1,0,245
885,6.8,40,1,0,1,0,245
864,6.6,50,0,0,0,1,250
884,9.0,43,1,0,1,1,250
407,3.0,40,1,0,0,0,255
537,9.0,43,1,1,1,1,248
679,3.0,40,1,1,1,1,255
38,6.8,41,0,0,0,0,255
175,6.8,40,1,1,1,1,255
245,6.7,38,1,0,1,0,255
907,6.8,40,1,0,1,0,245
732,8.1,66,1,0,1,1,255
824,6.8,45,0,0,0,1,255
940,5.6,50,0,1,1,1,255
154,6.6,37,1,1,1,1,255
638,9.0,43,1,0,1,1,250
287,6.7,45,1,1,1,0,245
625,5.5,45,1,0,1,1,250
661,6.5,38,1,0,0,0,255
569,6.5,37,0,0,0,0,245
813,7.4,65,0,0,0,0,255
17,3.0,40,1,1,1,1,255
127,6.8,40,1,0,1,0,245
322,3.0,40,1,1,1,1,255
255,6.8,40,1,0,1,0,245
721,6.5,38,1,0,0,0,255
1042,9.0,43,1,1,1,1,248
190,7.4,90,1,0,1,1,255
115,6.5,38,1,0,0,0,255
675,7.4,90,1,0,1,1,255
606,6.5,38,1,0,1,0,255
180,9.5,34,1,1,0,1,255
301,3.0,40,1,0,0,0,255
830,6.8,40,1,0,1,0,245
780,6.6,37,1,1,1,1,255
792,3.0,40,1,1,1,1,255
750,6.8,40,1,1,1,1,255
979,9.0,43,1,0,1,1,250
517,6.6,37,1,1,1,1,255
372,6.5,38,1,0,1,0,255
45,6.5,36,0,0,0,0,247
993,6.8,41,0,0,1,0,255
157,8.1,66,1,0,1,1,255
814,6.8,41,0,0,1,0,255
171,6.5,38,1,1,1,1,255
16,4.7,38,1,0,1,0,255
511,6.6,50,0,0,0,0,255
48,9.5,34,1,1,0,1,255
191,6.8,45,0,0,1,0,255
920,8.6,55,0,1,0,0,255
515,9.5,34,1,1,0,1,255
745,6.8,41,0,0,0,0,255
788,7.4,90,1,0,1,1,255
480,3.0,40,1,1,1,1,255
283,5.5,45,1,0,1,1,250
786,5.6,50,0,1,1,1,255
716,9.0,43,1,0,1,1,250
225,9.0,43,1,0,1,1,250
26,8.5,70,0,0,0,0,246
986,6.8,36,0,1,1,0,253
437,3.0,40,1,1,1,1,255
1031,6.8,41,0,0,1,0,255
364,6.6,37,1,0,1,0,255
229,4.5,38,0,1,1,1,255
37,7.4,65,0,0,0,0,255
669,4.5,60,0,1,1,1,250
1043,6.8,40,1,1,1,1,255
374,3.0,40,1,1,1,1,255
469,7.4,90,1,0,1,1,255
1057,6.8,43,1,0,1,0,250
687,9.0,43,1,0,1,1,250
1003,4.7,38,1,0,1,0,255
1050,6.6,37,1,1,1,1,255
872,6.5,40,1,0,0,0,250
194,3.0,40,1,1,1,1,255
936,4.5,60,0,1,1,1,250
946,6.5,36,0,0,1,0,255
503,6.8,41,0,0,1,0,255
1045,6.5,36,0,0,0,0,247
910,5.5,45,1,0,1,1,250
579,6.7,38,1,0,1,0,255
160,5.6,50,0,1,1,1,255
680,9.0,43,1,0,1,1,250
974,6.8,55,0,0,0,1,255
162,7.4,90,1,0,1,1,255
705,9.0,43,1,1,1,1,248
767,6.5,38,1,0,1,0,255
152,9.5,34,1,1,0,1,255
746,6.5,38,1,1,1,1,255
765,7.4,90,1,0,1,1,255
934,6.6,37,1,1,1,1,255
111,6.6,43,1,0,1,1,250
226,6.8,40,1,0,1,0,245
753,6.6,38,0,0,0,0,255
103,6.7,45,1,1,1,0,245
421,8.1,66,1,0,1,1,255
419,5.5,45,1,0,1,1,250
820,6.7,38,1,0,1,0,255
586,9.0,43,1,1,1,1,248
854,3.0,40,1,0,0,0,255
672,6.7,45,1,1,1,0,245
119,6.8,40,1,0,1,0,245
53,8.1,66,1,0,1,1,255
151,6.5,37,0,0,0,0,255
403,7.4,65,0,0,0,0,255
1051,5.5,45,1,0,1,1,250
207,4.5,60,0,1,1,1,250
658,8.6,55,0,1,1,1,255
924,6.8,38,0,0,0,0,255
834,6.5,38,1,0,0,0,255
8,8.1,66,1,0,1,1,255
883,6.6,40,1,1,1,1,255
36,8.6,55,0,1,0,0,255
452,6.5,35,1,0,1,0,246
651,7.4,65,0,0,0,0,255
253,3.0,40,1,1,1,1,255
303,6.8,40,1,1,1,1,255
816,6.6,38,0,0,0,0,255
571,6.8,45,0,1,0,0,240
623,6.5,37,0,0,0,0,255
1008,3.0,40,1,1,1,1,255
787,8.6,55,0,1,1,1,255
262,8.5,70,0,0,0,0,246
610,6.6,45,0,1,0,0,255
297,7.4,65,0,0,0,0,255
414,9.5,34,1,1,0,1,255
150,9.5,34,1,1,0,1,255
984,6.8,45,1,1,1,1,245
640,6.6,45,0,1,1,1,250
972,6.8,43,1,0,1,0,250
550,6.7,38,1,0,1,0,255
865,6.5,36,0,0,0,0,247
488,6.8,36,0,1,1,0,253
710,8.6,55,0,1,1,1,255
147,6.5,36,0,0,0,0,247
146,6.6,50,0,0,0,1,250
789,6.8,45,0,0,1,0,255
1018,6.8,40,1,0,1,0,245
809,6.8,34,0,0,0,1,240
966,8.6,55,0,1,1,1,255
659,6.8,45,0,0,0,1,255
770,9.0,43,1,0,1,1,250
348,6.8,45,0,0,0,1,255
463,4.5,60,0,1,1,1,250
325,6.8,45,0,0,0,1,255
186,6.7,45,1,1,0,0,247
123,6.8,45,1,1,1,1,245
935,5.5,45,1,0,1,1,250
608,6.7,50,1,1,1,0,245
143,3.0,40,1,0,0,0,255
751,6.6,45,0,0,0,1,250
1038,6.5,36,0,0,0,0,247
197,6.8,45,0,0,0,1,255
609,6.8,45,0,1,1,1,255
279,6.5,37,0,0,0,0,255
293,6.7,41,1,0,0,0,247
911,6.5,40,0,0,1,0,250
400,6.5,37,0,0,0,0,245
122,6.6,38,0,0,1,0,255
183,5.5,45,1,0,1,1,250
202,9.0,43,1,0,1,1,250
438,9.0,43,1,0,1,1,250
246,3.0,40,1,1,1,1,255
415,6.5,37,0,0,0,0,255
850,7.4,65,0,0,0,0,255
837,9.0,43,1,0,1,1,250
990,6.6,37,1,0,1,0,255
841,4.5,38,0,1,1,1,255
970,6.7,38,1,0,1,0,255
129,6.5,36,0,0,1,0,255
637,3.0,40,1,1,1,1,255
402,6.8,45,0,1,0,0,240
858,6.5,36,0,0,0,0,247
844,6.8,36,0,1,1,0,253
735,5.6,50,0,1,1,1,255
997,3.0,40,1,1,1,1,255
219,8.6,55,0,1,1,1,255
641,6.5,36,0,0,1,0,255
999,8.6,55,0,1,1,1,255
822,6.6,43,1,0,1,1,250
881,6.5,38,1,0,0,0,255
1004,3.0,40,1,1,1,1,255
624,6.6,37,1,1,1,1,255
918,6.7,50,1,1,1,0,245
832,6.5,36,0,0,1,0,255
386,6.8,45,0,1,1,1,255
1047,6.8,45,1,1,1,0,245
806,6.5,35,1,0,1,0,246
509,6.6,50,0,0,0,1,250
267,6.8,45,1,1,1,1,245
895,6.5,38,1,1,1,1,255
441,6.5,36,0,0,1,0,255
496,6.8,36,0,1,1,0,253
829,9.0,43,1,0,1,1,250
112,8.6,55,0,1,1,1,255
691,4.5,38,0,1,1,1,255
232,6.8,36,0,1,1,0,253
951,8.5,70,0,0,0,0,246
607,6.7,41,1,0,0,0,247
671,6.7,45,1,1,0,0,247
373,6.7,38,1,0,1,0,255
826,6.5,38,1,0,0,0,255
663,3.0,40,1,1,1,1,255
923,6.5,38,1,1,1,1,255
233,8.5,70,0,0,0,0,246
818,9.0,43,1,1,1,1,248
859,6.6,50,0,0,0,0,255
676,6.8,45,0,0,1,0,255
317,8.6,55,0,1,1,1,255
648,6.5,37,0,0,0,0,245
410,6.6,50,0,0,0,1,250
981,6.6,45,0,1,1,1,250
709,6.6,43,1,0,1,1,250
358,6.8,45,1,1,1,1,245
258,6.6,38,0,0,1,0,255
744,7.4,65,0,0,0,0,255
627,8.1,66,1,0,1,1,255
632,8.6,55,0,1,1,1,255
282,6.6,37,1,1,1,1,255
376,8.6,55,0,1,1,1,255
384,6.6,45,0,0,0,1,250
224,3.0,40,1,1,1,1,255
1035,9.0,43,1,1,1,1,248
890,6.5,50,1,0,1,0,246
472,6.7,38,1,0,1,0,255
347,8.6,55,0,1,1,1,255
505,6.6,38,0,0,0,0,255
639,6.8,40,1,0,1,0,245
1054,6.7,45,1,1,0,0,247
797,6.5,38,1,0,0,0,255
1015,4.7,38,1,0,1,0,255
989,6.5,37,0,0,0,0,245
619,6.5,36,0,0,0,0,247
937,8.1,66,1,0,1,1,255
971,3.0,40,1,1,1,1,255
645,6.8,36,0,1,1,0,253
927,6.8,40,1,1,1,1,255
556,6.5,38,1,0,0,0,255
681,8.6,55,0,1,1,1,255
577,9.0,43,1,1,1,1,248
795,6.8,45,0,0,0,1,255
85,6.5,38,1,1,1,1,255
242,3.0,40,1,0,0,0,255
698,6.6,37,1,0,1,0,255
956,7.4,65,0,0,0,0,255
159,6.7,45,1,1,1,0,245
524,6.6,35,0,1,1,1,255
35,6.8,45,0,1,1,1,255
540,6.5,36,0,0,0,0,247
170,6.8,41,0,0,0,0,255
654,6.6,38,0,0,0,0,255
973,8.6,55,0,1,1,1,255
939,6.7,45,1,1,1,0,245
928,6.6,45,0,0,0,1,250
484,6.5,36,0,0,1,0,255
733,6.7,45,1,1,0,0,247
95,6.5,37,0,0,0,0,255
563,4.5,38,0,1,1,1,255
240,6.5,38,1,1,1,1,255
742,6.8,45,0,1,1,1,255
863,6.8,40,1,1,1,1,255
574,6.5,38,1,1,1,1,255
690,6.5,36,0,0,1,0,255
460,6.5,37,0,0,0,0,255
891,6.6,37,1,0,1,0,255
553,8.6,55,0,1,1,1,255
857,6.6,50,0,0,0,1,250
960,3.0,40,1,0,0,0,255
206,5.5,45,1,0,1,1,250
392,6.6,45,0,1,1,1,250
794,8.6,55,0,1,1,1,255
870,6.6,37,1,1,1,1,255
397,6.8,36,0,1,1,0,253
766,6.8,45,0,0,1,0,255
932,9.5,34,1,1,0,1,255
217,3.0,40,1,1,1,1,255
4,6.6,37,0,0,0,0,255
768,6.7,38,1,0,1,0,255
642,4.5,38,0,1,1,1,255
980,6.8,40,1,0,1,0,245
612,6.8,41,0,0,0,0,255
738,6.8,50,0,0,1,0,255
546,5.5,45,1,0,1,1,250
725,6.8,40,1,0,1,0,245
1001,6.8,45,0,1,1,1,255
683,6.8,45,0,1,1,1,255
98,6.6,37,1,1,1,1,255
804,4.5,38,0,1,1,1,255
727,6.5,36,0,0,1,0,255
573,6.8,41,0,0,1,0,255
406,6.6,38,0,0,0,0,255
502,7.4,65,0,0,0,0,255
47,6.8,45,1,1,1,0,245
32,6.8,42,1,1,1,1,255
929,6.5,36,0,0,0,0,247
779,6.5,37,0,0,0,0,255
839,6.6,45,0,1,1,1,250
200,4.7,38,1,0,1,0,255
134,8.5,70,0,0,0,0,246
27,6.6,34,0,0,0,1,240
962,6.5,38,1,0,1,0,255
230,6.8,45,1,1,1,1,245
489,8.5,70,0,0,0,0,246
772,6.8,45,0,0,0,1,255
378,6.8,45,0,1,1,1,255
288,5.6,50,0,1,1,1,255
418,6.6,37,1,1,1,1,255
674,8.6,55,0,1,1,1,255
391,6.8,40,1,0,1,0,245
592,9.5,34,1,1,0,1,255
498,6.8,34,0,0,0,1,240
138,6.8,45,0,1,0,0,240
62,3.0,40,1,1,1,1,255
471,6.5,38,1,0,1,0,255
647,6.8,34,0,0,0,1,240
128,6.6,45,0,1,1,1,250
1049,6.5,37,0,0,0,0,255
520,8.1,66,1,0,1,1,255
838,6.8,40,1,0,1,0,245
1040,6.8,45,1,1,1,0,245
64,8.6,55,0,1,1,1,255
812,6.8,45,0,1,0,0,240
14,6.8,45,0,1,1,1,255
156,4.5,60,0,1,1,1,250
40,6.8,38,0,0,0,0,255
492,6.5,36,0,0,1,0,255
379,6.5,38,1,0,0,0,255
187,6.7,45,1,1,1,0,245
763,5.6,50,0,1,1,1,255
216,6.7,38,1,0,1,0,255
921,7.4,65,0,0,0,0,255
791,6.7,38,1,0,1,0,255
52,4.5,60,0,1,1,1,250
878,8.6,55,0,1,1,1,255
337,6.7,45,1,1,0,0,247
748,3.0,40,1,0,0,0,255
719,6.5,36,0,0,1,0,255
724,9.0,43,1,0,1,1,250
295,6.8,45,0,1,1,1,255
701,6.8,41,0,0,1,0,255
251,6.5,38,1,0,0,0,255
726,6.6,45,0,1,1,1,250
461,6.6,37,1,1,1,1,255
455,6.6,50,0,0,0,0,255
270,8.5,70,0,0,0,0,246
